# 2017-01-13 18:03:14.757318
# CT_x100
#  path: ../data_final/CT_x100/
#  thresholds: -457.4, 329.0
#  dc-average: 0.99 (radius = 4)
#  dc-average (opti): 0.99 (bestRadius: 4.0)
# MR_x100
#  path: ../data_final/MR_x100/
#  thresholds: 707.85, 2095.0
#  dc-average: 0.8977 (radius = 2)
#  dc-average (opti): 0.9247 (bestRadius: 2.12)
#  dc-average (CT-COM): 0.783
#  dc-average (CT-COM, opti): 0.7872
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM
  0     -0.1119     -1.0929     1.0986     0.9942     0.9942     0.9411     0.8619     0.6403     0.6427
  1     -0.1283     -1.0923     1.0999     0.9932     0.9932     0.9438     0.8669     0.6453     0.6474
  2     -0.1356     -1.091     1.0994     0.9922     0.9922     0.949     0.8744     0.6502     0.652
  3     -0.1537     -1.0799     1.0908     0.9942     0.9942     0.9466     0.8821     0.6564     0.6585
  4     -0.156     -1.0468     1.0584     0.9937     0.9937     0.9492     0.887     0.6604     0.663
  5     -0.1735     -1.0494     1.0636     0.9921     0.9921     0.9543     0.8949     0.663     0.6662
  6     -0.1644     -1.0258     1.0389     0.9914     0.9914     0.9515     0.9012     0.669     0.6718
  7     -0.1893     -1.0156     1.0331     0.9927     0.9927     0.9493     0.9044     0.6692     0.6727
  8     -0.1766     -1.0155     1.0307     0.9908     0.9908     0.946     0.9071     0.6713     0.6746
  9     -0.1935     -1.0331     1.0511     0.9836     0.9836     0.9434     0.9098     0.6464     0.6505
 10     -0.2003     -1.0091     1.0288     0.9902     0.9902     0.9413     0.9122     0.6759     0.6775
 11     -0.1928     -1.0222     1.0402     0.985     0.985     0.9398     0.9122     0.6485     0.6518
 12     -0.1983     -1.0171     1.0363     0.986     0.986     0.9396     0.9157     0.6516     0.6547
 13     -0.2133     -1.0169     1.039     0.987     0.987     0.938     0.9198     0.6542     0.6571
 14     -0.2211     -1.0152     1.039     0.9894     0.9894     0.936     0.9223     0.6558     0.6586
 15     -0.2194     -1.0124     1.0359     0.9892     0.9892     0.9365     0.9228     0.6576     0.6603
 16     -0.2145     -1.0006     1.0233     0.9896     0.9896     0.9356     0.9247     0.6599     0.6624
 17     -0.2194     -0.9775     1.0018     0.9918     0.9918     0.9358     0.9278     0.6882     0.6918
 18     -0.2217     -0.9797     1.0044     0.9886     0.9886     0.933     0.9231     0.6629     0.6674
 19     -0.2263     -0.9798     1.0056     0.9889     0.9889     0.9329     0.9265     0.6644     0.6695
 20     -0.2213     -0.9755     1.0003     0.9888     0.9888     0.9343     0.9312     0.6694     0.6741
 21     -0.1962     -0.9855     1.0049     0.9903     0.9903     0.935     0.9352     0.6733     0.6778
 22     -0.1925     -0.9793     0.998     0.9911     0.9911     0.9334     0.9379     0.6782     0.6824
