# 2017-01-17 14:59:40.310514
# CT_x25
#  path: ../data_final/CT_x25/
#  thresholds: -457.88, 331.0
#  DC-average: 0.9771 (radius = 4)
#  DC-average (opti): 0.9771 (bestRadius: 4.0)
# MR_x25
#  path: ../data_final/MR_x25/
#  thresholds: 705.15, 2087.0
#  DC-average: 0.8943 (radius = 2)
#  DC-average (opti): 0.9145 (bestRadius: 2.16)
#  DC-average (CT-COM): 0.7664
#  DC-average (CT-COM, opti): 0.7715
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  DC_CT  DC_CT_opti  DC_MR  DC_MR_opti  DC_MR_CT-COM  DC_MR_opti_CT-COM  warpDC  warpDC_opti
  0     -0.1126     -1.092     1.0978     0.9813     0.9813     0.9213     0.8593     0.6324     0.6365     0.0863     0.1545
  1     -0.1287     -1.0923     1.0999     0.9814     0.9814     0.9265     0.8643     0.6358     0.6426     0.0808     0.1492
  2     -0.1358     -1.0915     1.0999     0.9806     0.9806     0.9319     0.8726     0.6434     0.6498     0.075     0.1401
  3     -0.1536     -1.0799     1.0908     0.9821     0.9821     0.9403     0.8808     0.6572     0.6627     0.0652     0.13
  4     -0.1557     -1.0468     1.0583     0.9825     0.9825     0.9423     0.8889     0.6583     0.6637     0.0611     0.1176
  5     -0.1728     -1.0487     1.0628     0.9798     0.9798     0.9397     0.8984     0.6615     0.6667     0.0641     0.108
  6     -0.1639     -1.0251     1.0381     0.979     0.979     0.9401     0.9047     0.6605     0.6657     0.0622     0.0989
  7     -0.1886     -1.0149     1.0323     0.9798     0.9798     0.9401     0.9047     0.6605     0.6657     0.0618     0.0984
  8     -0.1759     -1.015     1.0301     0.9779     0.9779     0.9342     0.9078     0.6646     0.6696     0.0678     0.095
  9     -0.1932     -1.0327     1.0506     0.9616     0.9616     0.9287     0.9142     0.607     0.6152     0.0749     0.0901
 10     -0.2003     -1.0091     1.0288     0.9772     0.9772     0.9245     0.9188     0.6647     0.6695     0.0777     0.0836
 11     -0.1931     -1.0221     1.0402     0.9635     0.9635     0.9245     0.9188     0.6103     0.6182     0.0786     0.0845
 12     -0.199     -1.0176     1.0368     0.9638     0.9638     0.9233     0.9233     0.6135     0.6213     0.0795     0.0795
 13     -0.2139     -1.0174     1.0397     0.9653     0.9653     0.9219     0.922     0.6156     0.6232     0.0812     0.0811
 14     -0.2216     -1.0156     1.0395     0.9665     0.9665     0.9192     0.9222     0.6198     0.6271     0.084     0.0808
 15     -0.2201     -1.013     1.0366     0.9676     0.9676     0.9192     0.9222     0.6198     0.6271     0.0838     0.0806
 16     -0.2151     -1.0012     1.024     0.9684     0.9684     0.9164     0.9252     0.6239     0.631     0.0856     0.0766
 17     -0.22     -0.9784     1.0029     0.9665     0.9665     0.9153     0.9269     0.627     0.6339     0.0849     0.0733
 18     -0.2221     -0.9803     1.0052     0.9669     0.9669     0.9126     0.8996     0.6311     0.6378     0.0879     0.1009
 19     -0.2269     -0.9802     1.0062     0.9661     0.9661     0.9099     0.9026     0.6352     0.6416     0.0907     0.098
 20     -0.2217     -0.9757     1.0006     0.9684     0.9684     0.9131     0.9056     0.6392     0.6453     0.0869     0.0944
 21     -0.1968     -0.9859     1.0054     0.9692     0.9692     0.9147     0.9071     0.6412     0.6472     0.0858     0.0934
 22     -0.1934     -0.9793     0.9982     0.9695     0.9695     0.9136     0.9088     0.6384     0.6445     0.0862     0.091
 23     -0.1981     -0.9678     0.9879     0.9699     0.9699     0.9186     0.9162     0.6424     0.6511     0.0804     0.0828
 24     -0.187     -0.9517     0.9699     0.9714     0.9714     0.9175     0.9179     0.6454     0.6539     0.08     0.0796
 25     -0.1804     -0.9469     0.9639     0.9684     0.9684     0.9182     0.9239     0.6485     0.6567     0.0788     0.0734
 26     -0.1596     -0.9317     0.9453     0.9676     0.9676     0.9185     0.9294     0.6552     0.6631     0.0771     0.0667
 27     -0.1539     -0.9041     0.9171     0.9672     0.9672     0.9187     0.9349     0.6619     0.6694     0.0746     0.0597
 28     -0.1437     -0.911     0.9222     0.9684     0.9684     0.9231     0.9416     0.6695     0.6765     0.0709     0.0538
 29     -0.1272     -0.918     0.9267     0.9707     0.9707     0.9246     0.943     0.6743     0.681     0.0699     0.0528
