# 2017-01-13 12:52:22.905976
# CT_x9
#  path: ../data_final/CT_x9/
#  thresholds: -444.68, 332.0
#  dc-average: 0.973709795561
#  dc-average (opti): 0.973709795561
# MR_x9
#  path: ../data_final/MR_x9/
#  thresholds: 690.36, 2078.0
#  dc-average: 0.877861343154
#  dc-average (opti): 0.901612864937
#  dc-average (CT-COM): 0.754198594615
#  dc-average (CT-COM, opti): 0.754538977597
# 
sliceNumber   warp_X   warp_Y   warpMagnitude   dc_CT   dc_CT_opti   dc_MR   dc_MR_opti   dc_MR_CT-COM   dc_MR_opti_CT-COM
  0   -0.1135   -1.0858   1.0917   0.98   0.98   0.9138   0.8952   0.6207   0.6357
  1   -0.1312   -1.0855   1.0934   0.9811   0.9811   0.9052   0.8871   0.6207   0.6286
  2   -0.1379   -1.0849   1.0936   0.98   0.98   0.8918   0.8745   0.6234   0.6237
  3   -0.1564   -1.0754   1.0867   0.9799   0.9799   0.8966   0.879   0.6207   0.6286
  4   -0.1578   -1.043   1.0548   0.9821   0.9821   0.9099   0.8835   0.6352   0.6406
  5   -0.1765   -1.0466   1.0614   0.98   0.98   0.9021   0.8924   0.6468   0.6502
  6   -0.1659   -1.0223   1.0356   0.9789   0.9789   0.8983   0.8968   0.6525   0.6549
  7   -0.1912   -1.0111   1.029   0.9821   0.9821   0.8992   0.9055   0.6639   0.6643
  8   -0.1778   -1.0108   1.0263   0.979   0.979   0.8992   0.9055   0.6639   0.6643
  9   -0.1948   -1.0285   1.0468   0.9789   0.9789   0.8992   0.9055   0.6639   0.6643
 10   -0.2004   -1.0031   1.0229   0.9822   0.9822   0.8908   0.8976   0.6639   0.6643
 11   -0.1929   -1.0165   1.0346   0.9821   0.9821   0.8908   0.8976   0.6639   0.6643
 12   -0.1974   -1.0122   1.0313   0.9832   0.9832   0.887   0.8941   0.6695   0.669
 13   -0.214   -1.0119   1.0343   0.9821   0.9821   0.8833   0.8984   0.6667   0.6667
 14   -0.2219   -1.0099   1.034   0.9853   0.9853   0.8807   0.8958   0.6667   0.6667
 15   -0.22   -1.0077   1.0314   0.9842   0.9842   0.8807   0.8958   0.6667   0.6667
 16   -0.2146   -0.9962   1.019   0.9832   0.9832   0.8807   0.8958   0.6667   0.6667
 17   -0.2193   -0.9729   0.9974   0.9832   0.9832   0.8807   0.8958   0.6667   0.6667
 18   -0.2217   -0.9764   1.0012   0.9863   0.9863   0.8807   0.8958   0.6667   0.6667
 19   -0.2261   -0.9766   1.0024   0.9863   0.9863   0.8852   0.9   0.6721   0.6712
 20   -0.2218   -0.9725   0.9975   0.9832   0.9832   0.8898   0.9042   0.6776   0.6758
 21   -0.1963   -0.9833   1.0027   0.9843   0.9843   0.8826   0.9049   0.6883   0.6847
 22   -0.1923   -0.9774   0.9961   0.9874   0.9874   0.8916   0.9132   0.6827   0.6869
 23   -0.1968   -0.9655   0.9854   0.9863   0.9863   0.9004   0.9213   0.6853   0.6957
 24   -0.186   -0.9497   0.9677   0.9874   0.9874   0.9004   0.9213   0.6853   0.6957
 25   -0.1786   -0.9451   0.9619   0.9863   0.9863   0.8976   0.9185   0.7008   0.7086
 26   -0.1577   -0.9294   0.9427   0.9853   0.9853   0.902   0.9225   0.7059   0.7129
 27   -0.153   -0.9025   0.9154   0.9811   0.9811   0.8784   0.8856   0.7059   0.7129
 28   -0.1419   -0.9094   0.9204   0.9832   0.9832   0.8784   0.8856   0.7059   0.7129
 29   -0.1255   -0.9169   0.9255   0.9843   0.9843   0.8828   0.8897   0.7109   0.7171
 30   -0.127   -0.9032   0.9121   0.9864   0.9864   0.8828   0.8897   0.7109   0.7171
 31   -0.1233   -0.9052   0.9136   0.9853   0.9853   0.8906   0.8971   0.7188   0.7237
 32   -0.1159   -0.8978   0.9052   0.9853   0.9853   0.9027   0.9084   0.7315   0.7344
 33   -0.1006   -0.8833   0.889   0.9843   0.9843   0.907   0.9197   0.7442   0.7451
 34   -0.1117   -0.8789   0.8859   0.9863   0.9863   0.907   0.9197   0.7442   0.7451
 35   -0.1135   -0.8678   0.8752   0.9474   0.9474   0.9035   0.9236   0.6564   0.671
 36   -0.0987   -0.8528   0.8585   0.9863   0.9863   0.9035   0.9236   0.749   0.7492
 37   -0.0985   -0.8363   0.8421   0.9874   0.9874   0.9   0.9203   0.7538   0.7532
 38   -0.0902   -0.8099   0.8149   0.9853   0.9853   0.9035   0.9236   0.7568   0.7557
 39   -0.1028   -0.8028   0.8094   0.9895   0.9895   0.9042   0.9314   0.7663   0.7638
 40   -0.1097   -0.8029   0.8104   0.9863   0.9863   0.9042   0.9314   0.7663   0.7638
 41   -0.1033   -0.8127   0.8193   0.9505   0.9505   0.9042   0.9314   0.6743   0.6861
 42   -0.0928   -0.7983   0.8036   0.9465   0.9465   0.9042   0.9314   0.6743   0.6861
 43   -0.1041   -0.7859   0.7927   0.9485   0.9485   0.9077   0.9348   0.6769   0.6883
 44   -0.0974   -0.7787   0.7847   0.9516   0.9516   0.9077   0.9348   0.6769   0.6883
 45   -0.0888   -0.746   0.7513   0.9863   0.9863   0.9112   0.9382   0.7722   0.7687
 46   -0.0928   -0.7619   0.7675   0.9496   0.9496   0.9077   0.9348   0.6846   0.6948
 47   -0.0808   -0.7606   0.7649   0.9506   0.9506   0.9077   0.9348   0.6846   0.6948
 48   -0.0791   -0.7594   0.7635   0.9527   0.9527   0.9077   0.9348   0.6846   0.6948
 49   -0.0758   -0.7456   0.7495   0.9536   0.9536   0.9077   0.9348   0.6846   0.6948
 50   -0.0807   -0.7422   0.7466   0.9578   0.9578   0.9077   0.9348   0.6846   0.6948
 51   -0.0746   -0.7329   0.7367   0.9528   0.9528   0.9112   0.9382   0.6873   0.6971
 52   -0.0597   -0.7243   0.7267   0.9548   0.9548   0.9147   0.9416   0.6899   0.6993
 53   -0.0759   -0.725   0.729   0.9526   0.9526   0.9147   0.9416   0.6899   0.6993
 54   -0.0751   -0.7257   0.7296   0.9557   0.9557   0.9112   0.9455   0.695   0.7036
 55   -0.0717   -0.7057   0.7094   0.9538   0.9538   0.9042   0.9386   0.705   0.712
 56   -0.0906   -0.724   0.7297   0.9568   0.9568   0.9042   0.9386   0.705   0.712
 57   -0.08   -0.6973   0.7019   0.9557   0.9557   0.9008   0.9424   0.7023   0.7097
 58   -0.0766   -0.6891   0.6934   0.9557   0.9557   0.8939   0.9429   0.7045   0.7115
 59   -0.0767   -0.6964   0.7006   0.9579   0.9579   0.8939   0.9429   0.7045   0.7115
 60   -0.0695   -0.6957   0.6991   0.9568   0.9568   0.8821   0.8889   0.7072   0.7138
 61   -0.0784   -0.6935   0.698   0.9579   0.9579   0.8889   0.8953   0.7126   0.7184
 62   -0.0887   -0.6899   0.6956   0.9568   0.9568   0.8923   0.8986   0.7154   0.7208
 63   -0.0846   -0.6693   0.6746   0.9548   0.9548   0.9042   0.9097   0.728   0.7314
 64   -0.0749   -0.6529   0.6572   0.9558   0.9558   0.9042   0.9097   0.728   0.7314
 65   -0.0736   -0.6392   0.6434   0.9566   0.9566   0.9008   0.9137   0.7328   0.7355
 66   -0.0714   -0.6454   0.6493   0.9569   0.9569   0.9008   0.9137   0.7328   0.7355
 67   -0.0552   -0.6574   0.6597   0.9577   0.9577   0.9042   0.917   0.7356   0.7379
 68   -0.063   -0.6508   0.6538   0.9577   0.9577   0.9042   0.917   0.7356   0.7379
 69   -0.0679   -0.6395   0.643   0.962   0.962   0.9077   0.9203   0.7385   0.7403
 70   -0.0611   -0.6282   0.6312   0.9641   0.9641   0.9077   0.9203   0.7385   0.7403
 71   -0.0681   -0.6172   0.621   0.9609   0.9609   0.9154   0.9275   0.7385   0.7468
 72   -0.0668   -0.6273   0.6308   0.9621   0.9621   0.9189   0.9309   0.7413   0.7492
 73   -0.0607   -0.6225   0.6254   0.9641   0.9641   0.9189   0.9309   0.7413   0.7492
 74   -0.0659   -0.6103   0.6138   0.961   0.961   0.9195   0.9386   0.7433   0.7573
 75   -0.0721   -0.6076   0.6119   0.9609   0.9609   0.9195   0.9386   0.7433   0.7573
 76   -0.0766   -0.5927   0.5976   0.9621   0.9621   0.9195   0.9386   0.7433   0.7573
 77   -0.0714   -0.5813   0.5857   0.9652   0.9652   0.9195   0.9386   0.7433   0.7573
 78   -0.0731   -0.6002   0.6046   0.9663   0.9663   0.9195   0.9386   0.7433   0.7573
 79   -0.0815   -0.6075   0.613   0.9652   0.9652   0.916   0.9424   0.7481   0.7613
 80   -0.0683   -0.6024   0.6062   0.9652   0.9652   0.916   0.9424   0.7481   0.7613
 81   -0.0816   -0.5919   0.5975   0.9684   0.9684   0.916   0.9424   0.7481   0.7613
 82   -0.0752   -0.5949   0.5997   0.9684   0.9684   0.9125   0.9462   0.7529   0.7653
 83   -0.0686   -0.5946   0.5986   0.9673   0.9673   0.9125   0.9462   0.7529   0.7653
 84   -0.0578   -0.5851   0.588   0.9684   0.9684   0.916   0.9496   0.7557   0.7677
 85   -0.0605   -0.5829   0.586   0.9673   0.9673   0.916   0.9496   0.7557   0.7677
 86   -0.0472   -0.6074   0.6092   0.9716   0.9716   0.9195   0.9531   0.7586   0.7702
 87   -0.0487   -0.5977   0.5997   0.9715   0.9715   0.9195   0.9531   0.7586   0.7702
 88   -0.0507   -0.5639   0.5662   0.9716   0.9716   0.916   0.9496   0.7634   0.7742
 89   -0.0551   -0.5747   0.5773   0.9715   0.9715   0.916   0.9496   0.7634   0.7742
 90   -0.052   -0.5511   0.5535   0.9694   0.9694   0.9195   0.9531   0.7663   0.7767
 91   -0.0473   -0.5653   0.5673   0.9673   0.9673   0.9195   0.9531   0.7663   0.7767
 92   -0.0581   -0.5537   0.5567   0.9715   0.9715   0.916   0.9568   0.771   0.7806
 93   -0.0626   -0.5563   0.5598   0.9704   0.9704   0.9125   0.9534   0.7757   0.7846
 94   -0.0573   -0.5554   0.5584   0.9715   0.9715   0.9091   0.95   0.7803   0.7885
 95   -0.0631   -0.5517   0.5553   0.9693   0.9693   0.9132   0.9537   0.7849   0.7923
 96   -0.0663   -0.5531   0.5571   0.9694   0.9694   0.9098   0.9574   0.7895   0.7962
 97   -0.049   -0.5684   0.5705   0.9715   0.9715   0.9098   0.9574   0.7895   0.7962
 98   -0.0606   -0.5739   0.5771   0.9714   0.9714   0.9098   0.9574   0.7895   0.7962
