# 2017-01-16 22:57:57.881992
# CT_x1
#  path: ../data_final/CT_x1/
#  thresholds: -430.61, 333.0
#  dc-average: 0.861 (radius = 4)
#  dc-average (opti): 0.8671 (bestRadius: 4.04)
# MR_x1
#  path: ../data_final/MR_x1/
#  thresholds: 630.99, 2079.0
#  dc-average: 0.7049 (radius = 2)
#  dc-average (opti): 0.751 (bestRadius: 2.2)
#  dc-average (CT-COM): 0.5954
#  dc-average (CT-COM, opti): 0.6416
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM  warpDC  warpDC_opti
  0     -0.1187     -1.0683     1.0749     0.8713     0.8807     0.6923     0.7059     0.4615     0.5294     0.3307     0.3161
  1     -0.1358     -1.0716     1.0802     0.8824     0.8909     0.6923     0.7059     0.4615     0.5294     0.3324     0.3177
  2     -0.1452     -1.0711     1.0808     0.88     0.8889     0.6923     0.7059     0.4615     0.5294     0.3326     0.3179
  3     -0.1591     -1.0638     1.0756     0.8713     0.8807     0.6923     0.7059     0.4615     0.5294     0.331     0.3164
  4     -0.1616     -1.0318     1.0444     0.88     0.8889     0.6923     0.7059     0.4615     0.5294     0.3213     0.3072
  5     -0.1776     -1.038     1.053     0.8911     0.8991     0.6923     0.7059     0.4615     0.5294     0.324     0.3097
  6     -0.1681     -1.0148     1.0286     0.8713     0.8807     0.6923     0.7059     0.4615     0.5294     0.3165     0.3025
  7     -0.1911     -1.0036     1.0217     0.88     0.8889     0.6923     0.7059     0.4615     0.5294     0.3144     0.3005
  8     -0.1761     -1.0065     1.0218     0.8713     0.8807     0.6923     0.7059     0.4615     0.5294     0.3144     0.3005
  9     -0.1926     -1.0289     1.0467     0.8713     0.8807     0.6923     0.7059     0.4615     0.5294     0.3221     0.3079
 10     -0.1965     -1.0056     1.0246     0.8713     0.8807     0.6923     0.7059     0.4615     0.5294     0.3153     0.3014
 11     -0.1908     -1.0201     1.0377     0.8713     0.8807     0.64     0.6667     0.48     0.4848     0.3736     0.3459
 12     -0.1893     -1.0179     1.0354     0.8713     0.8807     0.6154     0.6471     0.4615     0.4706     0.3982     0.3654
 13     -0.2026     -1.0204     1.0404     0.8627     0.8727     0.6154     0.6471     0.4615     0.4706     0.4001     0.3672
 14     -0.2088     -1.0191     1.0403     0.8627     0.8727     0.6154     0.6471     0.4615     0.4706     0.4001     0.3672
 15     -0.2075     -1.0228     1.0436     0.8627     0.8727     0.6667     0.6857     0.4444     0.5143     0.3479     0.328
 16     -0.2042     -1.0132     1.0336     0.8627     0.8727     0.6667     0.6857     0.4444     0.5143     0.3445     0.3248
 17     -0.2115     -0.9853     1.0078     0.8627     0.8727     0.6429     0.7222     0.5     0.5556     0.3599     0.2799
 18     -0.2124     -0.9868     1.0094     0.8627     0.8727     0.6429     0.7222     0.5     0.5556     0.3605     0.2804
 19     -0.2164     -0.9897     1.0131     0.8627     0.8727     0.6429     0.7222     0.5     0.5556     0.3618     0.2814
 20     -0.212     -0.9879     1.0104     0.8627     0.8727     0.6429     0.7222     0.5     0.5556     0.3608     0.2807
 21     -0.1888     -0.9975     1.0152     0.8627     0.8727     0.6429     0.7222     0.5     0.5556     0.3626     0.282
 22     -0.1797     -0.9888     1.005     0.8627     0.8727     0.6897     0.7568     0.5517     0.5946     0.3119     0.2445
 23     -0.181     -0.9792     0.9958     0.8627     0.8727     0.6897     0.7568     0.5517     0.5946     0.309     0.2422
 24     -0.1692     -0.9613     0.9761     0.8627     0.8727     0.6667     0.7368     0.5333     0.5789     0.3254     0.2569
 25     -0.163     -0.9615     0.9752     0.8627     0.8727     0.6667     0.7368     0.5333     0.5789     0.3251     0.2566
